index,epoch,train_return_mean_mean,train_return_mean_std,num_seeds,label,env_id
0,1,30.127192881617688,29.813458838387906,3,NPG 1x stepsize,Hopper-v5
1,2,34.574496446089206,36.088915524957095,3,NPG 1x stepsize,Hopper-v5
2,3,39.03913042926381,42.22355180007292,3,NPG 1x stepsize,Hopper-v5
3,4,43.32376769947127,47.629518944974045,3,NPG 1x stepsize,Hopper-v5
4,5,46.82858244259771,51.183506600905915,3,NPG 1x stepsize,Hopper-v5
5,6,50.14678295601953,53.584631198881596,3,NPG 1x stepsize,Hopper-v5
6,7,53.72881642053608,55.15924681985339,3,NPG 1x stepsize,Hopper-v5
7,8,57.91414563557654,55.96601594856108,3,NPG 1x stepsize,Hopper-v5
8,9,63.80446536242462,56.88651850007268,3,NPG 1x stepsize,Hopper-v5
9,10,72.92704222680277,60.260775823701785,3,NPG 1x stepsize,Hopper-v5
10,11,84.0726239682507,66.56243505808314,3,NPG 1x stepsize,Hopper-v5
11,12,97.56619753416386,78.07390436978321,3,NPG 1x stepsize,Hopper-v5
12,13,109.45313094140879,90.09587213385761,3,NPG 1x stepsize,Hopper-v5
13,14,119.59626053518731,100.79410808816742,3,NPG 1x stepsize,Hopper-v5
14,15,126.77125049770557,107.70324585102028,3,NPG 1x stepsize,Hopper-v5
15,16,133.90542477593567,114.46612445236997,3,NPG 1x stepsize,Hopper-v5
16,17,142.0095119479736,122.66316821489157,3,NPG 1x stepsize,Hopper-v5
17,18,148.76776159857192,128.96353540976918,3,NPG 1x stepsize,Hopper-v5
18,19,157.41767127707317,137.42099517483473,3,NPG 1x stepsize,Hopper-v5
19,20,167.82708735168492,148.4507355693844,3,NPG 1x stepsize,Hopper-v5
20,21,177.5881967898539,158.9349983883686,3,NPG 1x stepsize,Hopper-v5
21,22,187.59780743603662,170.4629235146096,3,NPG 1x stepsize,Hopper-v5
22,23,197.23334834154878,181.03148189044282,3,NPG 1x stepsize,Hopper-v5
23,24,205.408017999938,190.7190824154115,3,NPG 1x stepsize,Hopper-v5
24,25,211.18410284717643,196.15027567041844,3,NPG 1x stepsize,Hopper-v5
25,26,215.8895402276796,200.17559182554274,3,NPG 1x stepsize,Hopper-v5
26,27,220.2023229306459,203.7796066850628,3,NPG 1x stepsize,Hopper-v5
27,28,224.1172539977431,205.5917693512919,3,NPG 1x stepsize,Hopper-v5
28,29,227.35371051875805,206.53001579377778,3,NPG 1x stepsize,Hopper-v5
29,30,230.1726159428592,206.33555302759308,3,NPG 1x stepsize,Hopper-v5
30,31,232.84293379407066,205.4713963451896,3,NPG 1x stepsize,Hopper-v5
31,32,235.73926825573048,203.11949578335594,3,NPG 1x stepsize,Hopper-v5
32,33,236.32725231073172,198.5116868667754,3,NPG 1x stepsize,Hopper-v5
33,34,240.04917216915922,197.10743842830283,3,NPG 1x stepsize,Hopper-v5
34,35,244.4060995469456,195.42438741242873,3,NPG 1x stepsize,Hopper-v5
35,36,248.54849995606273,193.12801323813068,3,NPG 1x stepsize,Hopper-v5
36,37,249.81552822040894,188.10314739952176,3,NPG 1x stepsize,Hopper-v5
37,38,252.9506957491234,184.9291821981423,3,NPG 1x stepsize,Hopper-v5
38,39,257.16284918238176,184.21224378042476,3,NPG 1x stepsize,Hopper-v5
39,40,259.423110725483,181.45912343762802,3,NPG 1x stepsize,Hopper-v5
40,41,262.18665589310655,179.5247986740675,3,NPG 1x stepsize,Hopper-v5
41,42,265.51312297969076,178.72193121843762,3,NPG 1x stepsize,Hopper-v5
42,43,267.9375021779103,176.77023883121382,3,NPG 1x stepsize,Hopper-v5
43,44,268.72544158086225,173.31081776795767,3,NPG 1x stepsize,Hopper-v5
44,45,271.02800307903414,170.51310932552613,3,NPG 1x stepsize,Hopper-v5
